,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,rain,snow
38,"{'lon': 57.76, 'lat': -20.34}","[{'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]",stations,"{'temp': 75.65, 'feels_like': 78.13, 'temp_min': 75.2, 'temp_max': 75.99, 'pressure': 1012, 'humidity': 94}",2000.0,"{'speed': 12.75, 'deg': 60}",{'all': 75},1578281932,"{'type': 1, 'id': 2061, 'country': 'MU', 'sunrise': 1578274494, 'sunset': 1578322416}",14400,1106677,Bambous Virieux,200,,
39,"{'lon': 127.67, 'lat': 26.12}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 72.86, 'feels_like': 66.76, 'temp_min': 71.6, 'temp_max': 73.4, 'pressure': 1023, 'humidity': 46}",10000.0,"{'speed': 11.41, 'deg': 110}",{'all': 20},1578281641,"{'type': 1, 'id': 8137, 'country': 'JP', 'sunrise': 1578262653, 'sunset': 1578300690}",32400,1861280,Itoman,200,,
40,"{'lon': -70.14, 'lat': -20.22}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 73.4, 'feels_like': 72.25, 'temp_min': 73.4, 'temp_max': 73.4, 'pressure': 1016, 'humidity': 56}",10000.0,"{'speed': 5.82, 'deg': 210}",{'all': 75},1578281933,"{'type': 1, 'id': 8492, 'country': 'CL', 'sunrise': 1578305218, 'sunset': 1578353103}",-10800,3887127,Iquique,200,,
41,"{'lon': -159.78, 'lat': -21.21}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 80.6, 'feels_like': 88.07, 'temp_min': 80.6, 'temp_max': 80.6, 'pressure': 1011, 'humidity': 88}",10000.0,"{'speed': 6.93, 'deg': 40}",{'all': 100},1578281933,"{'type': 1, 'id': 7271, 'country': 'CK', 'sunrise': 1578240186, 'sunset': 1578288323}",-36000,4035715,Avarua,200,,
42,"{'lon': -63.6, 'lat': 50.23}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 8.6, 'feels_like': -0.92, 'temp_min': 8.6, 'temp_max': 8.6, 'pressure': 1003, 'humidity': 71}",14484.0,"{'speed': 5.82, 'deg': 10}",{'all': 1},1578281933,"{'type': 1, 'id': 812, 'country': 'CA', 'sunrise': 1578226399, 'sunset': 1578255929}",-18000,5972291,Havre-Saint-Pierre,200,,
43,"{'lon': 130.99, 'lat': -25.24}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 78.8, 'feels_like': 74.53, 'temp_min': 78.8, 'temp_max': 78.8, 'pressure': 1014, 'humidity': 54}",10000.0,"{'speed': 13.87, 'deg': 110}",{'all': 91},1578281933,"{'type': 1, 'id': 9487, 'country': 'AU', 'sunrise': 1578256315, 'sunset': 1578305434}",34200,6355222,Yulara,200,,
44,"{'lon': 149.13, 'lat': -36.24}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 60.8, 'feels_like': 53.55, 'temp_min': 60.8, 'temp_max': 60.8, 'pressure': 1020, 'humidity': 72}",6000.0,"{'speed': 13.87, 'deg': 40}",{'all': 40},1578281933,"{'type': 1, 'id': 9520, 'country': 'AU', 'sunrise': 1578250373, 'sunset': 1578302666}",39600,2170577,Cooma,200,,
45,"{'lon': 115.24, 'lat': 5.28}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 86.65, 'feels_like': 91.04, 'temp_min': 86, 'temp_max': 87.8, 'pressure': 1011, 'humidity': 58}",10000.0,"{'speed': 5.82, 'deg': 110}",{'all': 75},1578281792,"{'type': 1, 'id': 9372, 'country': 'BN', 'sunrise': 1578263368, 'sunset': 1578305944}",28800,1733782,Victoria,200,,
46,"{'lon': 22.34, 'lat': 39.45}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 41.11, 'feels_like': 31.8, 'temp_min': 39.2, 'temp_max': 42.8, 'pressure': 1017, 'humidity': 83}",10000.0,"{'speed': 11.41, 'deg': 330, 'gust': 23.04}",{'all': 90},1578281934,"{'type': 1, 'id': 6607, 'country': 'GR', 'sunrise': 1578289861, 'sunset': 1578324056}",7200,262462,Saint George,200,,
47,"{'lon': -56.41, 'lat': -34.76}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 75.49, 'feels_like': 68.67, 'temp_min': 73.99, 'temp_max': 77, 'pressure': 1001, 'humidity': 53}",10000.0,"{'speed': 16.11, 'deg': 50}",{'all': 75},1578281934,"{'type': 1, 'id': 8713, 'country': 'UY', 'sunrise': 1578299972, 'sunset': 1578351757}",-10800,3442778,Delta del Tigre,200,,
48,"{'lon': -80.67, 'lat': 28.54}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 46.38, 'feels_like': 43.21, 'temp_min': 41, 'temp_max': 51.8, 'pressure': 1025, 'humidity': 93}",16093.0,"{'speed': 3.36, 'deg': 310}",{'all': 1},1578281934,"{'type': 1, 'id': 6077, 'country': 'US', 'sunrise': 1578226558, 'sunset': 1578263967}",-18000,4164092,Merritt Island,200,,
49,"{'lon': 5.11, 'lat': 51.24}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 43.02, 'feels_like': 37.11, 'temp_min': 42.01, 'temp_max': 44.6, 'pressure': 1030, 'humidity': 93}",10000.0,"{'speed': 6.93, 'deg': 190}",{'all': 90},1578281934,"{'type': 1, 'id': 1527, 'country': 'BE', 'sunrise': 1578296574, 'sunset': 1578325616}",3600,2799511,Dessel,200,,
